Part;SupportAreaWeight;ZHeightWeight;SupportTimeWeight;InstanceId;Roll;Pitch
37322;1;1;1;43692750-8b6d-4940-ad69-7769e010007a;115;25
37322;3;0;0;0476f8f3-961b-439a-9efd-a970628ec9ce;-65;70
37322;0;1.5;1.5;e7bf56cf-995d-4f5c-95ba-2d18b13a1621;5;-85
37322;2;0.5;0.5;475c0cd3-8785-4d35-aa18-f94ed847fa44;-65;0
37322;1;2;0;43692750-8b6d-4940-ad69-7769e010007a;-175;-5
37322;1;0;2;475c0cd3-8785-4d35-aa18-f94ed847fa44;115;90
37323;1;1;1;b7d5e330-79f4-4163-b449-f40ec1af883f;-175;15
37323;3;0;0;eae2f273-522b-477e-9ee7-28f19fbdc9ef;-35;35
37323;0;1.5;1.5;b7d5e330-79f4-4163-b449-f40ec1af883f;-175;60
37323;2;0.5;0.5;b7d5e330-79f4-4163-b449-f40ec1af883f;-35;35
37323;1;2;0;b7d5e330-79f4-4163-b449-f40ec1af883f;-175;105
37323;1;0;2;b7d5e330-79f4-4163-b449-f40ec1af883f;30;120
37744;1;1;1;4790f125-a671-437d-b4d6-4f0cb28e7517;-5;-5
37744;3;0;0;4790f125-a671-437d-b4d6-4f0cb28e7517;-45;-5
37744;0;1.5;1.5;a97b5561-b504-4966-aa18-2482d10186e4;-85;-85
37744;2;0.5;0.5;4790f125-a671-437d-b4d6-4f0cb28e7517;-5;40
37744;1;2;0;2373541c-388d-400e-b10e-87e9e6d7a9ef;-45;90
37744;1;0;2;4790f125-a671-437d-b4d6-4f0cb28e7517;-85;50
38641;1;1;1;08e1c4d1-988c-48cf-92f5-c3c62bcb35ad;75;-5
38641;3;0;0;ac53a6ef-e425-475f-a36e-b74d3499138e;-45;35
38641;0;1.5;1.5;2e6ac5d4-b1b4-43d5-be33-be9fbad89089;-5;-5
38641;2;0.5;0.5;9acaa38e-d2bb-4ba3-96f0-ece3d52a7922;-45;20
38641;1;2;0;9acaa38e-d2bb-4ba3-96f0-ece3d52a7922;-85;-5
38641;1;0;2;08e1c4d1-988c-48cf-92f5-c3c62bcb35ad;75;-5
39109;1;1;1;cff70436-9de1-470b-aadd-f66150acf4f9;-5;5
39109;3;0;0;cff70436-9de1-470b-aadd-f66150acf4f9;-5;35
39109;0;1.5;1.5;cff70436-9de1-470b-aadd-f66150acf4f9;-5;50
